script,neutral_sentiment,positive_sentiment,negative_sentiment
讓我們歡迎鋼鋼！讓我們歡迎鋼鋼！今天晚上超級熱鬧耶！大家晚上最後快結束了，我們把氣氛吵起來！今天晚上好不好？好！水啦，超喜歡！大部分人都什麼都沒想，另外一些人說我不想說謊，其實還好。可是因為這個社會，這個社會就教我們說不要說謊。大家都覺得說謊是一件很不好的事情，可是你有沒有發現，歷史上最有名的那些人都超會說謊的，像諸葛亮、諸葛亮跟大辮子、大辮子諸葛亮，對！什麼木牛牛馬空城記、草船借箭，全部都是詞片的諸葛亮耶！大家記得草船借箭嗎？草船借箭就是，他那時候跟草草說，我們要打過去囉，我們一群人現在要打過去囉，然後草草每個弓箭手都準備好，準備要發射，結果他派出去一群稻草人，對不對？所以後來現代版是怎樣，就是我們卡米迪跟你們說，我們現在要講笑話喔，要講很好笑的笑話喔，要派出去五個稻草人，一個笑聲就像弓箭一樣！,0.2,0.6,0.2
還我諸葛亮是死騙子！以諸葛亮這種死騙子個性，我完全不相信，完全不相信！他三不毛盧的前兩次是不在家，完全不相信，他一定在家好不好，他一定躲在那個小書筒後面說，說我不在，說我不在。,0.0,0.0,1.0
我知道，因為我媽，我小時候接電話的時候，我媽就這樣啊，喂，找我媽媽嗎？說我不在，說我不在，她說她不在，啊，她過來了，而且很生氣，媽媽就很火，叫說我不在，每次接電話都沒好事，最討厭接，喂，媽，老師你好，好久不見。,0.6,0.2,0.2
諸葛亮就是那種，前一秒你看到他臉書上面還是綠燈，結果你一瞧他，在嗎？不見，臭諸葛亮。到了第三次，到第三次三顧茅廬的時候，諸葛亮終於發現我不在家這個藉口已經不能再用，所以他這次，諸葛亮看到劉備他們來，就像每個學生族群看到老人上公車一樣，咳，咳，這麼美，咳，諸葛亮裝睡，然後這時候，劉備跟官員就想說，這張飛，這張飛的眼睛是雪亮的，張飛說，去他家後面放把火，看他出不出來，張飛很可怕耶，張飛就那種，死都要戳爆你的謊言，就是那種。假如說現在有些女生，你不想要參加什麼聚會，你就說什麼，嗯，我最近有點筋痛，不想去，就是那種，張飛就直接，咳，咳下來。那個衛生人員給我甜點啊，吃番茄醬，吃番茄醬。不是所有人都有拍手，我現在已經黏條，吃草莓。,0.4,0.3,0.3
還要跟上輩做朋友，還要跟上輩做朋友。那三顧茅廬這個故事告訴我們什麼事？不是說什麼禮賢下士不死下文，不是不是不是，不是叫這個。三顧茅廬告訴我們說，你一個人如果要成功，你從出社會那一剎那，你就要開始說謊。我從小時候寫作文就身安持理，就是很明白這個道理的意思，謝謝，謝謝，謝謝。我小時候寫作文的時候，每次作文一來，我就會寫死一個家人，大家都會吧？大家都會吧？小時候那個作文不完全就死亡筆記本，題目一下來我就想，我要成為新世界的神，對，沒錯啦。還是有些人是寫別的題目，有些人的作文題目什麼媽媽的手，每個人都把媽媽的手寫超醜，像是爬蟲那樣，對，老師改作文改到一半說，嗯，我要去改賣護手霜了，或是家長日的時候偷偷檢查說，啊，剛剛媽媽你好，上次打去你家好像沒人接喔，真的啦。那隨著年齡長大，我們發現謊言的集散地漸漸轉變，漸漸從我的作文簿開始轉轉轉，轉到臉書上。臉書上很多謊言，你好漂亮，你好正，這種就算了，這種我已經習慣了。那我有一個大學同學，這真實故事喔，就是我有一個大學同學跑去整形，然後整完形之後他就PO了一個動態，下面回覆都會說什麼，你好勇敢。我想說哪裡勇敢，就是沒有勇氣面對自己的臉去漸行。呃，大家不笑是因為大家都整過形，你怕笑太用力鼻子掉下來。真的耶，他以前醜歸醜，可是醜得很自然，現在是醜得很不自然，超現實的醜法，打臉重來。,0.5,0.2,0.3
其實說謊就是人類的天性，大家每個人只要是人類都會說謊。現在機器越來越進步，連機器都會說謊。每次在等公車的時候，即將進站，即將進站，即將進站，12分鐘，為什麼？要怎樣？龍貓的公車經過我失去自知之心，我看不到嗎？這是飲水機，請用冰開水，食道融化。他最有感覺的應該是手機的電力，手機的電力，上一秒看還有18%，下一秒18%沒了，掌聲鼓勵。通常遇到這種情形，老一輩軍工銷都很不能接受，大家趕快出國，他們不能出國只能去哪？小巨蛋，大家都會很生氣，為什麼要跑去小巨蛋？他們只是想要進去充電，他們不要尊嚴，只要電源，只要電源。我是覺得18%那個政策本來就是很不公平，但是我覺得老一輩軍工銷就是因為知道很爽，所以才去當了嘛。我打個比方，假如說今天推出一支手機，他標榜的就是說，這個手機的電力用到剩18%的時候，他就電力再也不會下降，你什麼都不用做，你死都還是有18%。那你還會管電力嗎？你不會管電力啊，你一定整天在公車上，就在那邊滑手機，學院上滑手機，走在路上滑手機，不好意思撞到你，但我不會檢討，因為我是現代人，繼續。,0.4,0.3,0.3
在辦公室滑手機，一直滑滑滑，你根本不會管電力啊，你不會買充電線，你不會買行動電源，因為就算天塌下來，你還是有18%。你到55歲，不對，你到5點半的時候，大家都想說，我要不要充電，充到6點半，你說，我有18%。不會管你的電力嘛，但是一整天下來，回到家，那你晚上回到家的時候，你搭電梯準備上樓，你快到你家那層樓了，電梯突然故障，然後這是個很老舊的電梯，所以它沒有任何通訊設備。你這時候想說，啊沒關係，反正我可以打電話求救嘛，手機拿出來，18%沒了。他們心聲大概是這樣，但是我們現在就是一直都在怪那些什麼18%的人，我們都沒有想過，他們才是被騙的人，就是我們都是怪拿著18%手機的人。但是真正要怪的是不是那些發明18%騙人的手機的人？今天最會騙人的是什麼？政府，政府超會騙人耶。我每次看什麼幸福城市調查，每次前三名都有高雄，搞屁喔，誰都會亂來啊。你知道高雄市政府的赤字，讓平均每個高雄市民負債9.2萬嗎？在場有沒有高雄人，幫我掌聲加油尖叫？你看，這有兩個可能性，第一個是在場真的沒有高雄人，第二個是他們開心不起來。還有第二個，事實上呢，假如說你是高雄醫學院的醫學生，你如果接受婦產科實習的時候，他們就教你說，如果一個嬰兒生出來，他沒有哭的話，你就在他耳邊說，9.2萬！哇，謝謝大家我開了！,0.2,0.0,1.0
接下來這位表演者呢，特別啦！他的名字一聽就覺得很 gay，然後他的場相也很 gay，身材也很 gay，又每天去健身房。他不管怎麼樣，都會跟 gay 扯上邊，扯上邊而已喔，沒有扯上該邊。接下來讓我們聽聽看，他自己解釋他自己是不是 gay，讓我們歡迎鋼鋼！,0.5,0.2,0.3
我剛剛以為詹姆士要上來講第二段，你準備好了嗎？準備好聽我解釋我的性向了嗎？我不是 gay，你在期待什麼？為什麼你們一副失望的樣子？為什麼？但我知道很容易誤會，非常容易誤會。我這個人，我覺得我人生從小到大都經歷各種大大小小的誤會，像我小時候在美國長大，然後後來回台灣，所以台灣人都覺得我是美國人，然後美國人都覺得我是一個普通的亞洲人這樣子。然後大學的時候文組雙理組，所以文組的同學就覺得，喔那他理科的，然後理組的同學就覺得，喔他很笨。但就連我的性向，大家都很常誤會。像直男一看我就說，喔這一臉就 gay，可是 gay 看我會覺得我是天菜，喔耶！我實力這種賣肉，賣肉。生活中也會有很多誤會。,0.4,0.4,0.2
大家來到這邊，想說自己要來聽快樂嘴，可是剛剛聽完孟璇，你就想說賣肉。我超喜歡惰性記憶那個笑話，不起反應。我怎麼想不到，太強了！但真的生活中很多誤會。最近，最近天氣終於開始變冷了。前一陣子我不知道，大家還記不記得，暑假超級熱。暑假有曾經連續11天都超過37度，破歷史紀錄。然後那時候新聞都很喜歡用一個詞，叫做體感溫度，有沒有聽過體感溫度？總統今天天氣雖然是36度，但感覺像47度喔！我不懂他為什麼要用這種，你這樣子講這個詞，沒有對於這個概念有更清楚的理解。就是我不知道47度是什麼感覺，我又不是什麼剛果新人，我不知道47度是什麼感覺。你這樣講對我的理解沒有幫，就像是假如說有個朋友，他來跟你講，他說那天吃一個甜點，超好吃的，像被口爆。我不知道，我不知道被口爆是什麼感覺，好不好？不要用這種沒有人知道的詞，來解釋一個概念。,0.5,0.3,0.2
還有另外一種情形，也很常產生誤會，也是大家很喜歡沒有意義的縮寫，四個字剪成兩個字。台北車站，肥車。永和豆漿，永豆 Fine。我比較宅啦，我以為是勇者鬥惡魔，就是有時候，有時候明明那個詞就只有兩個字，然後還要剪寫成一個字。我就覺得很誇，你們反應比較快。我上次在辦公室，然後我們就在聊天的時候，有一位同事就說，我最近需要吃個藥，那個藥好臭喔。然後另外一位同事就說，你的鼻臭嗎？什麼東西，光天化日嗎？B群啊，B群叫做B群。你知不知道B群已經是維生素B複合群的間線了，你為什麼要把一個間線再剪寫？可是我們家是這樣講啊，你今天有沒有吃A？你今天有沒有吃C？你今天有沒有吃D？,0.3,0.0,0.7
那你會跟你媽說，啊媽你把B放桌上，我等一下。你會這樣嗎？你會說你看起來精神不太好，你要不要來吃你的B啊？你會這樣嗎？不知道你為了什麼要辦表，然後在這邊浪費80個人的時間，很煩耶。,0.4,0.0,0.6
那另外一次，我跟我朋友去買飲料，然後我朋友一到櫃台，他就跟我說，我要大奶微微。你是誰啊？你到底是誰？我多大？你剛剛醜著說要喝茶，我不知道是這種，這種茶耶，大杯奶茶，微糖微冰，大奶微微。我知道，他每天白癡不要亂撿錢。那後來，換我點飲料，然後我就開始想，我要個小杯的。先生不好意思，我們只有中杯大杯喔。幹最討厭這種，你們知道裝的概念是什麼嗎？要有兩個東西，在中間，那個才叫中。小學相反式測驗怎麼寫？小朋友，他的相反是這麼，那一位你怎麼去賣飲料？喔，笑久一點，我只要寫八分鐘，真的我跟你講，最尻杯，全台灣最高杯，就是春水堂跟漢嶺茶館。懂的人現在就會笑，不懂的好，我解釋給你。春水堂跟漢嶺茶館，春水堂只有賣小杯跟中杯，漢嶺茶館只有賣大杯跟特大杯。老爺，就你的大杯是別人的小杯，為什麼換個地方 cup size 就不一樣？有什麼，你以為你明明就是小杯的，然後你硬是要放一個中字，大家就會覺得你比較了不起，比較有國際地位，會被聯合國承認嗎？他沒感冒。,0.5,0.0,0.5
那我覺得就是這樣。那個，很多，我覺得不管是奇怪的名詞也好，縮寫也好，很多誤會就是這樣。那更容易產生誤會是思想上的誤會，像我很多思想都被別人認為政治非常不正確。像我就覺得白癡不應該有投票權。通常這邊觀眾就不會再笑了。第二件事就是，我知道民主的概念是什麼，我知道不管貴賤，我們每個人的投票權應該要一樣，我很想這樣相信。但有個問題，有個問題就是，我每個禮拜都會看卡提諾狂新聞，我每次看到那個最狂記錄器，那個邊開車邊講電話，逆向衝進單行道，連續衝撞四五台車之後，還不剎車，只會尖叫的中年婦女的時候，我的心裡就會有個小小的聲音跟我說，她的一票跟你一樣，她的一票跟你一樣，建功台大了不起了，她的一票跟你一樣啦。你可能是一個什麼政治系教授，你寫過三十篇論文分析台灣的政治環境，你的一票跟一個說，我喜歡河馬，一樣，一模一樣。老實說，今天是什麼比較困難，是開車比較困難，還是決定誰來領導台灣比較困難，女生是不是很難選？,0.3,0.0,0.7
我就覺得好，我今天不是菁英主義，我是說應該有一個最低標準，就像我們開車要考駕照一樣，我們投票應該要有一個最低限度的考試來決定誰有投票權。我覺得這考試的設計應該就是這樣子，應該要符合選舉當時的情境。所以呢，它會是一道選擇題，但沒有一個選項是你喜歡的。那請問你覺得最好的滷肉飯要加什麼配料？A. 蚯蚓 B. 維生素B複合群 C. 泥土。然後，只有這個時候 B 才能減成 B。我相信大家也不會陌生，對這種情形呢，大家都會很了解。因為搭飛機的時候，選飛機餐的時候，就會遇到很類似的情形。你每次聽完飛機餐那兩個選擇，你心裡就會「欸，兩個都不喜歡」。首先請問你要尿泡過的饅頭，還是屎做的包子呢？我不知道，我不知道，尿泡的饅頭應該還好吧，應該可以吃四年吧。對，沒錯，這就是民主航空飛機，就是只有尿泡的饅頭，還有屎做的包子。中國旅行團通常都坐飛機的最後面，他們沒得選，就只有屎包子、屎包子、屎包子、屎包子。「欸，你的包子長得好像小熊維尼，屎包子。」然後下午的時候，B牌做一個中國人，我要跟他解釋民主是什麼。他說，「民主就是我們可以自由決定自己的領導人。」沒聽過。但是這樣，這件事情證明什麼？文化差異有時候比，就是思想上差最多，文化上面的差異，就是大家都台灣人，所以大家可以知道我在講什麼，可是隔一個文化就完全不一樣。,0.5,0.1,0.4
我之前說過，我小時候住美國，然後我住美國的時候，就有被罰過留校察看。大家知道留校察看是什麼嗎？那你們想知道我為什麼會罰留校察看嗎？謝謝大家，我是康康，超煩的。你知道我問這個問題，只是想要聽到你們說「想」，然後就接下去講。全部人在那邊認真，還好上面有點糗。好，總之就是我在學校玩樂高，但是我的樂高一直被一個同學搶走，他超過分，他把我什麼車子、房子、樂高車子、樂高房子全部搶走。然後我就很生氣，我去找老師，我說老師，他我的房子全部都搶走了。老師就說，「誰叫你要買房子？現在沒有人在買房子了，現在只有那些炒房地產的而已，現在大家都用租的。」沒事沒事，重點是，他沒有辦法平息我心中的怒火。所以我後來就很生氣，我就揍那個同學一拳，然後就罰留校察看。最慘的是，我回到家需要跟我爸媽解釋留校察看是什麼，因為他們不懂，這他們的文化裡面沒有。我媽說，「你怎麼了？你這麼晚回來，什麼留校察看？留校察看是什麼？」我就試著講說，「其實沒什麼啦，就是你知道，下課之後留一兩個小時在班上，然後有個老師會逼我把功課寫完，然後就可以走了。」這時候我爸也氣沖沖的衝進來，我說怎麼了？剛剛在學校又幹了什麼好事？然後我媽說，「你知道你兒子幹了什麼好事嗎？他找到一家免費的安親班。」先講到這邊，謝謝大家。,0.5,0.2,0.3
在我開始講之前，有個非常重要的問題要問大家，超級重要。在場有沒有人不吃香菜的？幫我舉個手。不吃香菜，喔！兩位，喔，握個手，握個手。歡迎，歡迎，歡迎，歡迎，歡迎，歡迎，歡迎，歡迎，歡迎。我們現在四周都是敵人，我們要堅強，幫我們堅強。你有沒有覺得不吃香菜完全就是個詛咒？因為不吃香菜，你每次在點菜的時候，別人都只要畫正字，可是我們要寫「不要加香菜」五個字，超多的。很像那種小學考試，筆畫很多的那種同學，大家都寫到第五題了，他還在那邊。「我的名字」超毒的，超痛苦的，可是我這個人就是很懶惰，所以我每次點一碗麵的時候，我就不想寫「不要加香菜」五個字，我就直接寫「No香菜」。老闆娘看成「加香菜」，哈哈哈哈哈哈。你們在讀什麼？哈哈哈哈哈哈。不知道那碗麵送上來多可怕，香菜森林，很可怕。很像國小自然課程在教優雅化的時候，那個吃法。我原本不想要香菜，現在要面對這個海埔新森林，超可怕的。而且最可怕的，最可怕的就是，就算你寫了不要加香菜，他還會忘記，他還會忘記。而且加香菜一加下去就是一個不可逆反應。大家知道嗎？一碗麵如果香菜加下去，你就算挑掉了，我還是一口就知道有問題。這碗麵不能信任，對我來說，一碗麵加香菜就像一個公司加了徐旭東，不能信任，有問題，絕對有問題。說到這個，要徐旭東幫我挑香菜，我看他挖東西，東西都玩完了，趕快去吃。而且，除非他挖深一點，我還多幾湯魚可以吃。,0.5,0.0,0.5
各位觀眾讓我們用掌聲歡迎下半場的第一位表演者 高高 告訴各位就是這裡 就是這個地方 這裡在這個舞台就是大奶微微誕生的地方 就是這裡 這裡我已經感覺到 今年就是台灣脫口秀元年 脫口秀元年 想想看過去這一年 有多少人因為脫口秀一炮而紅 有龍龍嘛對不對 龍龍在下面在哪裡 龍龍在外面好他不聽了 聽完上半場不能怪他 對不對有龍龍 還有我 2018好不好 2018脫口秀元年 我是蠻有信心的我覺得接下來這個世界呢 正在往一個更好的方向邁進 大家有沒有發現最近科技越來越進步 發明出一堆有的沒的東西 我之前去銀行開戶的時候 發現有那種指紋的提款機 大家有用過嗎 指紋提款機感覺起來超方便的 可是你要想一下喔 這代表以後只要有人拿到你的指紋 他可以把你錢全部偷走 我嚇到吃手手 我嚇到吃手手 這樣他就看不到 我的指紋了 看不到 然後啊 真的 而且你要想一想以後照相機的解析度 越來越高 以後不能畢業 畢業拿到指紋錢全部沒了 我再也不敢畢業了我以後只能這樣 超中二的 而且中二的人越來越有錢 跟YouTuber一樣,0.2,0.4,0.4
我之前去上海的時候看到另外一個很特別的東西 叫做無水馬桶 這個就沒聽過吧 無水馬桶 這是最新科技了 不用用水就可以使用的馬桶 而且任何東西只要加上無這個字 聽起來就超酷 無人機 帥 無糖綠茶 健康 無蹲椅 無水馬桶 這是最新科技了 不用用水就可以使用的馬桶 而且任何東西只要加上無這個字 聽起來就超酷 無人機 帥 好了不是 大部分啦 大部分的東西 大部分的東西加上無都還不錯 無無蹲椅 好多 無無蹲椅 大部分的東西是這樣子 但是我不知道為什麼 無水馬桶我聽起來就覺得很奇怪 無水馬桶 不是 這糞坑 不是這是毛坑嗎 就是我們在發明馬桶之前在用的那個東西啊 這麼早就有了好不好 你下一個偉大的發明是什麼 感謝大家下樓的時候使用 無電手扶梯 無電手扶梯 他知道有個餐廳叫無光晚餐嗎 就整個餐廳都不開燈 只是想省電費吧 我找不到筷子給我開燈 煩耶 謝謝大家那個 無震動按摩椅 做得還可以嗎 健身準備 除了無水馬桶之外 還有另外一個東西 最近美國發明一種 聲控馬桶 聲控你只要講一句話 就可以把馬桶自己沖自己 這東西要17萬台幣 17萬台幣叫一個馬桶沖水 我花500塊叫丹尼幫我沖耶,0.5,0.9,0.2
你不要這樣攻擊啊 不要鬧好不好 而且我覺得現在聲控的東西都還不到火候啦 像Siri 有人在場會真的平常生活中使用Siri的嗎 幫我舉個手 一個 你拿Siri來幹嘛 你問他什麼 他怎麼回答你 抱歉 我不知道這個問題的答案 誰說Siri 誰說Siri不會講客套話 因為我真的不懂 因為我就很想要去用Siri 然後我就每次問Siri 他就說什麼 嘿Siri 然後我就說幫我打開Google地圖 請先將手機解鎖 我如果還要動手 我幹嘛要跟你講話啊 我就是不想要工作 我才出一張嘴 為什麼連我最後當慣老闆的機會都要奪走 Siri 我跟你講 我唯一一次Siri真的派上用場 是我一次找不到手機 我在我房間大喊 嘿Siri 找到了 有沒有Siri有沒有 那我們現在越來越常把不需要智慧 我們把人工智慧放進一堆不需要智慧的東西裡面 你看什麼智慧馬桶 我之前還看到有什麼智慧牙刷 還有智慧電鍋 欸 大同電鍋有幾個按鈕 一個 你到底不會用什麼你告訴我 而且你米煮壞 你米到底要煮壞到什麼程度 你才需要智慧電鍋 你就稀飯跟鍋巴都可以吃啊,0.7,0.1,0.2
瓦吉嗎? 你還想不到他變回稻米嗎? 不知道在做什麼事 智慧電鍋 懂誰會需要啊 但我智慧的東西裡面 我接觸過最扯的一個 絕對是我之前上個月看到的 智慧型情趣用品 我知道我知道 我聽到反應跟你們一模一樣 我一看到就 欸 找我朋友來 這個智慧型跳彈 欸 我們馬上開始開玩笑 所以怎樣 你可以把你個人最佳紀錄 上傳到遠端 減三秒 每天要達成成就 今天又要五次 很煩耶 還是你可以每個月下載 最新的正法 讓你男女朋友 可以遠端遙控 衝啊 旋風衝鋒 各位 以上三個功能 它都有 它都有 欸 它是什麼 它是智慧型跳彈 我們這些笨蛋想得到 它當然想得到 而且不只這個智慧型跳彈 它還有照明的功能 到底是多想當螢火蟲 我不知道為什麼 智慧型跳彈聽起來就超難用的 你要連上網路才能愉悅自己 你房間收訊很爛怎麼辦 半夜爸媽看到你在客廳 在幹嘛 找WIFI 超難用的 你不覺得人類越來越進步 但是卻引發出一些人類 越來越退步的行為嗎,0.5,0.1,0.4
就像剛才那個對不對 我們的手機可以照相 可以交友之後 大家 男生聽到第一個反應是什麼 我要把我的雞雞給別人看 不要把你的生殖器官給別人看 你已經不是猴子了 但至少 以前 以前要把你的老二給別人看 你有想過有多難的一件事嗎 你要去買一件大衣 躲在公園 照單的人經過 很麻煩耶 現在超級不負責任的 你穿吊罩 你根本不用穿自己的吊罩 你有想過這件事嗎 我可以隨便上網下載一個白人的 然後就把他送給別人 別人想說 喔 是不是很大很漂亮啊 可是怎麼那麼白 美肌 我剛剛說 美肌臭 對不起 除了脫口秀大家的進步 科技大家的進步之外 我跟我女朋友的感情也漸漸在進步 謝謝 我已經習慣了 之前三場的反應都是 所以大家聽到這邊都不太想聽 沒關係 我還是要繼續放閃 我跟我女朋友的感情 已經走到了一個地步 我是怎麼知道的呢 因為我最近發現 隔壁都會剛好 剛好 有婚紗店 怎麼那麼巧 每天吃完晚餐 七早八早 好早喔 不想回家 想在附近晃晃 就是很附近的那種附近晃晃 你們知道被逼婚 是什麼感覺嗎 你這邊有男女朋友 剛剛有很多男女朋友對不對 我現在都不敢舉手 有男女朋友幫我舉手 這邊 你們兩個是 不是 我避開你們,0.6,0.3,0.1
好 總之 你們知道被逼婚的感覺是什麼嗎 被逼婚 你感情走到一個階段 一直到你真的結婚那一刻 就像是你還完ubike 到你逼悠遊卡那中間 機器一直逼逼逼逼逼逼逼逼逼 好啦好啦好啦 不是不用 吵死人了 我最受不了 我很愛我女朋友 但我非常不愛她的房間 她房間太亂了 全部都是衣服 她房間長得像她的洗衣機 昨天晚上喝太多 然後在她床上 剩幾條襪子 超亂的 她的浴室也一樣 你知道她的浴缸啊 拿來堵住水的那個塞子 是頭髮做的 她那天想泡澡 就多加幾個塞下去 超級噁心的 很不能接受 你知道男女朋友走到一個階段 除了結婚啊住哪裡這種問題之外 他另外一個要面對的問題是 跟對方的父母要相處 我之前就在跟他爸爸 我們去爬山 然後我們爬山爬到一半 在那個杳無人煙的深山之中 突然出現了一個單槓 他爸爸就看著我的眼睛說 博恩啊 通常一個真男人 看到單槓 都會想要過去拉個十下 不會啊 不會好不好 我看到單槓就只會想 嗯 鋼彈掉了單槓 我只會 想一些沒有什麼用的繞口令 就這樣而已 而且任何正常人 看到山裡面的單槓 就只會想說 誰會在山裡面放單槓啊,0.2,0.0,0.8
這個觸及率也太低了吧 這蛋糕 是你放的嗎 你發現旁邊就懸崖嗎 那些屍體是前男友嗎 我們所有跟他交往過的人 都走過這條男友之路 那其他男友都真的直上直下 直上直下 我超害怕的 我覺得這根本是一個好女婿測驗 真的好女婿測驗 但是他測驗的不是我的闊背肌 他測驗的是我誠不誠實 因為誠實是一段感情裡面 最重要的一環 他要看我遇到一些 不合理的要求的時候 我會不會表達出我的不滿 我誠不誠實 然後當天晚上呢 他爸爸就煮了一整桌的菜 然後他就深情款款的看著我說 博安啊 一個真男人 每次我煮的飯 都會想吃上個十萬 我一看那飯的顏色就覺得 他絕對是在考驗我誠不誠實 那個顏色怎麼可能 裡面還有頭髮 你剛在浴缸裡面住的嗎 所以我想說 哇這是我誠實的機會 這是我讓他知道 我是一個誠實好女婿的機會 就看著他 然後說 你呃 想買智慧電鍋嗎 謝謝大家,0.6,0.1,0.3
